,sepal_length,sepal_width,petal_length,petal_width,species
86,1.0270505326179982,0.040374985665481214,0.5167633704089023,0.35964900563859303,Iris-versicolor
148,0.41709405114237713,0.7469372348113935,0.9136505984658961,1.3942557341879707,Iris-virginica
143,1.1490418289131221,0.27589573538078566,1.197141475649463,1.3942557341879707,Iris-virginica
12,-1.2907840969893625,-0.19514576404982323,-1.3542764190026397,-1.450912769322818,Iris-setosa
33,-0.43684502292349264,2.631103232533828,-1.3542764190026397,-1.321586928254146,Iris-setosa
25,-1.0468015043991137,-0.19514576404982323,-1.2408800681292127,-1.321586928254146,Iris-setosa
88,-0.31485372662836886,-0.19514576404982323,0.17657431778862168,0.10099732350124865,Iris-versicolor
23,-0.92481020810399,0.5114164850960891,-1.1841818926924994,-0.9336094050481292,Iris-setosa
7,-1.0468015043991137,0.7469372348113935,-1.2975782435659262,-1.321586928254146,Iris-setosa
99,-0.192862430333244,-0.6661872634804321,0.17657431778862168,0.10099732350124865,Iris-versicolor
109,1.6370070140936195,1.2179787342420025,1.3105378265228895,1.6529074163253152,Iris-virginica
59,-0.8028189118088651,-0.9017080131957356,0.06317796691519505,0.23032316456992072,Iris-versicolor
65,1.0270505326179982,0.040374985665481214,0.34666884409876225,0.23032316456992072,Iris-versicolor
140,1.0270505326179982,0.040374985665481214,1.0270469493393224,1.523581575256643,Iris-virginica
119,0.17311145855212848,-2.079311761772257,0.6868578967190424,0.35964900563859303,Iris-virginica
144,1.0270505326179982,0.5114164850960891,1.0837451247760361,1.6529074163253152,Iris-virginica
74,0.6610766437326258,-0.4306665137651277,0.28997066866204857,0.10099732350124865,Iris-versicolor
13,-1.9007405784649836,-0.19514576404982323,-1.5243709453127796,-1.450912769322818,Iris-setosa
46,-0.92481020810399,1.6890202336726103,-1.2408800681292127,-1.321586928254146,Iris-setosa
14,-0.07087113403812019,2.1600617331032193,-1.4676727698760663,-1.321586928254146,Iris-setosa
146,0.5390853474375009,-1.3727495126263445,0.6868578967190424,0.8769523699132818,Iris-virginica
68,0.41709405114237713,-2.079311761772257,0.40336701953547544,0.35964900563859303,Iris-versicolor
